Fecha,Precio
1/01/2001,14.13
1/02/2001,14.33
1/03/2001,14.13
1/04/2001,14.04
1/05/2001,15.34
1/06/2001,15.32
1/07/2001,14.67
1/08/2001,13.89
1/09/2001,14
1/10/2001,13.95
1/11/2001,13.53
1/12/2001,12.79
1/01/2002,12.55
1/02/2002,12.29
1/03/2002,12.58
1/04/2002,14.11
1/05/2002,14.16
1/06/2002,13.96
1/07/2002,14.43
1/08/2002,15.29
1/09/2002,15.25
1/10/2002,15.63
1/11/2002,15.76
1/12/2002,15.49
1/01/2003,15.34
1/02/2003,16.22
1/03/2003,17.41
1/04/2003,16.49
1/05/2003,15.44
1/06/2003,14.57
1/07/2003,14.62
1/08/2003,15.14
1/09/2003,16.55
1/10/2003,16.27
1/11/2003,16
1/12/2003,15.49
1/01/2004,15.9
1/02/2004,17.23
1/03/2004,17.85
1/04/2004,18.29
1/05/2004,18.59
1/06/2004,18.9
1/07/2004,18.87
1/08/2004,18.71
1/09/2004,18.6
1/10/2004,19.2
1/11/2004,20.04
1/12/2004,19.7
1/01/2005,18.8
1/02/2005,18.28
1/03/2005,19.46
1/04/2005,21.7
1/05/2005,22.23
1/06/2005,21.96
1/07/2005,21.93
1/08/2005,22.61
1/09/2005,25.21
1/10/2005,26.85
1/11/2005,25.5
1/12/2005,22.93
1/01/2006,22.33
1/02/2006,22.03
1/03/2006,21.84
1/04/2006,24.15
1/05/2006,26.62
1/06/2006,26.45
1/07/2006,26.3
1/08/2006,27.86
1/09/2006,26.97
1/10/2006,24.45
1/11/2006,22.9
1/12/2006,22.88
1/01/2007,22.67
1/02/2007,21.66
1/03/2007,22.87
1/04/2007,25.28
1/05/2007,27.29
1/06/2007,28.41
1/07/2007,28.09
1/08/2007,27.52
1/09/2007,26.78
1/10/2007,27.02
1/11/2007,27.99
1/12/2007,28.73
1/01/2008,28.53
1/02/2008,28.35
1/03/2008,29.73
1/04/2008,
1/05/2008,
1/06/2008,
1/07/2008,
1/08/2008,
1/09/2008,
1/10/2008,
1/11/2008,
1/12/2008,
